index,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
112,Belarus,Europe,994037,104251.871,7118,746.516,6440777,6356035,5720777,67.55,66.66,60,9534956,46.858,40.3,14.799,9.788,17167.967,74.79,0.823
113,Belgium,Europe,4817196,413283.101,34339,2946.056,9267479,9169717,11699571,79.51,78.67,100.37,11655923,375.564,41.8,18.571,12.849,42658.576,81.63,0.931
114,Bosnia and Herzegovina,Europe,403266,124713.858,16362,5060.105,943394,846080,120530,29.18,26.17,3.73,3233530,68.496,42.5,16.569,10.711,11713.895,77.4,0.78
115,Bulgaria,Europe,1307688,192818.737,38456,5670.341,2108544,2077971,768430,31.09,30.64,11.33,6781955,65.18,44.7,20.801,13.272,18563.307,75.05,0.816
116,Croatia,Europe,1276216,316650.543,18414,4568.822,2322639,2251766,594785,57.63,55.87,14.76,4030361,73.726,44,19.724,13.053,22669.797,78.49,0.851
117,Cyprus,Europe,660854,737554.506,1364,1522.31,671193,646142,481275,74.91,72.11,53.71,896007,127.657,37.3,13.416,8.563,32415.132,80.98,0.887
118,Czechia,Europe,4665557,444593.239,42917,4089.674,6976659,6893366,5168005,66.48,65.69,49.25,10493990,137.176,43.3,19.027,11.58,32605.906,79.38,0.9
119,Denmark,Europe,3417017,580902.167,8824,1500.104,4752101,4716840,3621753,80.79,80.19,61.57,5882259,136.52,42.3,19.677,12.325,46682.515,80.9,0.94
120,England,Europe,NaN,NaN,NaN,NaN,45417090,42951064,68586690,80.31,75.95,121.29,56550000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
121,Estonia,Europe,602478,454335.537,2902,2188.431,869484,861851,605672,65.57,64.99,45.67,1326064,31.033,42.7,19.452,13.491,29481.252,78.74,0.892
122,Faeroe Islands,Europe,34658,652484.139,28,527.138,41715,40895,21284,78.53,76.99,40.07,53117,35.308,NaN,NaN,NaN,NaN,80.67,NaN
123,Finland,Europe,1489281,268787.14,10280,1855.346,4524249,4347780,4343609,81.65,78.47,78.39,5540745,18.136,42.8,21.228,13.264,40585.721,81.91,0.938
124,France,Europe,38997490,603427.621,167985,2599.316,54677678,53192478,47705542,80.63,78.44,70.35,67813000,122.578,42,19.718,13.079,38605.671,82.66,0.901
125,Germany,Europe,38437756,461051.095,174979,2098.829,64876299,63563414,64791434,77.82,76.24,77.72,83369840,237.016,46.6,21.453,15.957,45229.245,81.33,0.947
126,Gibraltar,Europe,20550,628882.7,113,3458.09,42175,41465,49170,NaN,NaN,150.47,32677,3457.1,NaN,NaN,NaN,NaN,79.93,NaN
127,Greece,Europe,5443008,524123.512,37748,3634.868,7936512,7646664,7161777,76.42,73.63,68.96,10384972,83.479,45.3,20.396,14.524,24574.382,82.24,0.888
128,Guernsey,Europe,35326,557817.114,67,1057.967,54223,52710,69339,85.62,83.23,109.49,63329,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129,Hungary,Europe,2207993,221523.594,48817,4897.714,6420813,6207249,4316982,64.42,62.28,43.31,9967304,108.043,43.4,18.577,11.976,26777.561,76.88,0.854
130,Iceland,Europe,209286,561234.423,186,498.789,309770,290193,250542,83.07,77.82,67.19,372903,3.404,37.3,14.431,9.207,46482.958,82.99,0.949
131,Ireland,Europe,1723615,343137.157,9281,1847.661,4108868,4063175,3194825,81.8,80.89,63.6,5023108,69.874,38.7,13.928,8.678,67335.293,82.3,0.955
132,Isle of Man,Europe,38008,449617.905,116,1372.229,69560,67106,53328,82.29,79.38,63.08,84534,147.872,NaN,NaN,NaN,NaN,81.4,NaN
133,Italy,Europe,26230177,444297.09,192406,3259.049,50934323,47949204,47762176,86.27,81.22,80.9,59037472,205.859,47.9,23.021,16.24,35220.084,83.51,0.892
134,Jersey,Europe,66391,599218.383,161,1453.121,84365,81882,73662,76.14,73.9,66.48,110796,NaN,NaN,NaN,NaN,NaN,NaN,NaN
135,Kosovo,Europe,274279,153906.454,3212,1802.353,906858,825082,105506,50.89,46.3,5.92,1782115,168.155,NaN,NaN,NaN,9795.834,NaN,NaN
136,Latvia,Europe,976428,527612.401,7388,3992.102,1346184,1305976,529562,72.74,70.57,28.61,1850654,31.212,43.9,19.754,14.136,25063.846,75.29,0.866
137,Liechtenstein,Europe,21507,546487.105,87,2210.647,26771,NaN,22087,68.02,NaN,56.12,39355,237.012,NaN,NaN,NaN,NaN,82.49,0.919
138,Lithuania,Europe,1338442,486695.917,9734,3539.562,1957583,1880749,946140,71.18,68.39,34.4,2750058,45.135,43.5,19.002,13.778,29524.265,75.93,0.882
139,Luxembourg,Europe,385445,595189.013,1000,1544.161,481957,462702,459119,74.42,71.45,70.9,647601,231.447,39.7,14.312,9.842,94277.965,82.25,0.916
140,Malta,Europe,120632,226202.107,883,1655.75,478814,471537,465020,89.78,88.42,87.2,533293,1454.037,42.4,19.426,11.324,36513.323,82.53,0.895
