index,location,continent,total_cases,total_cases_per_million,total_deaths,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,life_expectancy,human_development_index
225,Tonga,Oceania,16860,157766.195,12,112.289,87342,77360,38506,81.73,72.39,36.03,106867,150.028,22.3,5.82,4.032,5425.621,70.91,0.725
226,Tuvalu,Oceania,2943,259638.288,1,88.222,9763,9505,5745,86.13,83.86,50.68,11335,373.067,NaN,NaN,NaN,3575.104,67.57,NaN
227,Vanuatu,Oceania,12019,36784.149,14,42.847,176624,162250,27697,54.06,49.66,8.48,326744,22.662,23.1,4.394,2.62,2921.909,70.47,0.609
228,Wallis and Futuna,Oceania,3550,306140.048,8,689.893,7150,6803,3766,61.66,58.67,32.48,11596,NaN,NaN,NaN,NaN,NaN,79.94,NaN
229,Argentina,South America,10054576,220929.563,130472,2866.866,41516185,34898833,37294575,91.22,76.68,81.95,45510324,16.177,31.9,11.198,7.441,18933.907,76.67,0.845
230,Bolivia,South America,1209431,98938.132,22404,1832.771,7361008,6160585,2167589,60.22,50.4,17.73,12224114,10.202,25.4,6.704,4.393,6885.829,71.51,0.718
231,Brazil,South America,37721749,175194.534,704659,3272.712,189643431,176164186,126388587,88.08,81.82,58.7,215313504,25.04,33.5,8.552,5.06,14103.452,75.88,0.765
232,Chile,South America,5288892,269790.003,64497,3290.036,18088517,17700117,27474929,92.27,90.29,140.15,19603736,24.282,35.4,11.087,6.938,22767.037,80.18,0.851
233,Colombia,South America,6383141,123050.807,142942,2755.56,43012174,37019801,14792792,82.92,71.36,28.52,51874028,44.223,32.2,7.646,4.312,13254.949,77.29,0.767
234,Ecuador,South America,1069139,59393.305,36043,2002.277,15333873,14240587,10554926,85.18,79.11,58.64,18001002,66.939,28.1,7.104,4.458,10581.936,77.01,0.759
235,Falkland Islands,South America,1923,505919.495,NaN,NaN,2632,1775,NaN,69.24,46.7,NaN,3801,NaN,NaN,NaN,NaN,NaN,81.44,NaN
236,French Guiana,South America,98041,321901.841,413,1356.019,NaN,NaN,NaN,NaN,NaN,NaN,304568,NaN,25.3,NaN,2.897,NaN,79.95,NaN
237,Guyana,South America,73388,90745.085,1299,1606.228,495285,381984,82864,61.24,47.23,10.25,808727,3.952,26.3,5.305,2.837,7435.047,69.91,0.682
238,Paraguay,South America,735939,108533.649,19988,2947.759,3993938,3546685,2204922,58.9,52.31,32.52,6780745,17.144,26.5,6.378,3.833,8827.01,74.25,0.728
239,Peru,South America,4522474,132820.227,221727,6511.885,30546638,28702865,31778100,89.71,84.3,93.33,34049588,25.129,29.1,7.151,4.455,12236.706,76.74,0.777
240,Suriname,South America,82588,133627.594,1408,2278.148,267820,237879,48889,43.33,38.49,7.91,618046,3.612,29.6,6.933,4.229,13767.119,71.68,0.738
241,Uruguay,South America,1040506,303992.993,7635,2230.633,3010439,2903077,3122616,87.95,84.82,91.23,3422796,19.751,35.6,14.655,10.361,20551.409,77.91,0.817
242,Venezuela,South America,552695,19528.686,5856,206.913,22157232,14966671,651502,78.29,52.88,2.3,28301700,36.253,29,6.614,3.915,16745.022,72.06,0.711
